com.samsung.shealth.step_daily_trend,6266001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
f0b0cdcf-5171-4cb5-8241-1b2ee48269ef.binning_data.json,2024-04-20 12:18:49.295,2024-04-20 12:18:49.295,com.sec.android.app.shealth,-2,860,1.5583596,727.89606,53.55076,VfS0qUERdZ,com.sec.android.app.shealth,f0b0cdcf-5171-4cb5-8241-1b2ee48269ef,1610409600000,
19ecfeee-a299-4ea7-9ab3-d4e6c3e66acb.binning_data.json,2024-04-20 12:18:49.295,2024-04-20 12:18:49.295,com.sec.android.app.shealth,-2,764,1.8312641,695.79724,57.31205,VfS0qUERdZ,com.sec.android.app.shealth,19ecfeee-a299-4ea7-9ab3-d4e6c3e66acb,1610496000000,
c9c4205a-a764-4fbd-a566-92c21dc0aa39.binning_data.json,2024-04-20 12:18:49.296,2024-04-20 12:18:49.296,com.sec.android.app.shealth,-2,497,1.3398007,399.09906,26.962082,VfS0qUERdZ,com.sec.android.app.shealth,c9c4205a-a764-4fbd-a566-92c21dc0aa39,1610582400000,
6f8e0b3a-56a4-4205-88ec-ae4af025ed38.binning_data.json,2024-04-20 12:18:49.297,2024-04-20 12:18:49.297,com.sec.android.app.shealth,-2,929,1.5542319,744.39325,47.939953,VfS0qUERdZ,com.sec.android.app.shealth,6f8e0b3a-56a4-4205-88ec-ae4af025ed38,1610668800000,
b52cbe74-4f92-42e7-b103-c911990971ce.binning_data.json,2024-04-20 12:18:49.297,2024-04-20 12:18:49.297,com.sec.android.app.shealth,-2,1619,1.5077959,1317.7,90.06534,VfS0qUERdZ,com.sec.android.app.shealth,b52cbe74-4f92-42e7-b103-c911990971ce,1610755200000,
0cc18f7a-6943-47a8-a0f3-19118912ea24.binning_data.json,2024-04-20 12:18:49.298,2024-04-20 12:18:49.298,com.sec.android.app.shealth,-2,4094,1.3684958,3285.2102,221.10179,VfS0qUERdZ,com.sec.android.app.shealth,0cc18f7a-6943-47a8-a0f3-19118912ea24,1610841600000,
315219f1-d83d-4a85-bc27-1974fb8e53ed.binning_data.json,2024-04-20 12:18:49.299,2024-04-20 12:18:49.299,com.sec.android.app.shealth,-2,952,1.5904828,792.7945,55.603977,VfS0qUERdZ,com.sec.android.app.shealth,315219f1-d83d-4a85-bc27-1974fb8e53ed,1610928000000,
17c40bc3-ca27-4504-85f8-a97518cb7811.binning_data.json,2024-04-20 12:18:49.300,2024-04-20 12:18:49.300,com.sec.android.app.shealth,-2,809,1.5727996,674.1965,48.19081,VfS0qUERdZ,com.sec.android.app.shealth,17c40bc3-ca27-4504-85f8-a97518cb7811,1611014400000,
b5f16d81-c36a-4e5b-b03d-a4615485d4a4.binning_data.json,2024-04-20 12:18:49.301,2024-04-20 12:18:49.301,com.sec.android.app.shealth,-2,1051,1.8391899,955.6932,78.20383,VfS0qUERdZ,com.sec.android.app.shealth,b5f16d81-c36a-4e5b-b03d-a4615485d4a4,1611187200000,
0f30f885-5e8b-4e1f-ae91-0770e56aec6f.binning_data.json,2024-04-20 12:18:49.302,2024-04-20 12:18:49.302,com.sec.android.app.shealth,-2,1464,1.5849603,1228.5001,88.09109,VfS0qUERdZ,com.sec.android.app.shealth,0f30f885-5e8b-4e1f-ae91-0770e56aec6f,1611360000000,
be619d5f-0e43-4e82-87f4-896767dfdbcb.binning_data.json,2024-04-20 12:18:49.302,2024-04-20 12:18:49.302,com.sec.android.app.shealth,-2,5919,1.4020652,4760.7393,319.46072,VfS0qUERdZ,com.sec.android.app.shealth,be619d5f-0e43-4e82-87f4-896767dfdbcb,1611446400000,
290ac8ee-0e6c-409f-940b-bca764a0d45d.binning_data.json,2024-04-20 12:18:49.303,2024-04-20 12:18:49.303,com.sec.android.app.shealth,-2,1042,1.7529422,905.29254,68.760925,VfS0qUERdZ,com.sec.android.app.shealth,290ac8ee-0e6c-409f-940b-bca764a0d45d,1611532800000,
23af7d79-dfb2-4630-86fe-ce8c12738cf8.binning_data.json,2024-04-20 12:18:49.304,2024-04-20 12:18:49.304,com.sec.android.app.shealth,-2,701,1.7067839,609.99744,46.898285,VfS0qUERdZ,com.sec.android.app.shealth,23af7d79-dfb2-4630-86fe-ce8c12738cf8,1611619200000,
5fc6618f-b658-42f5-8043-0dfe5735d8b1.binning_data.json,2024-04-20 12:18:49.304,2024-04-20 12:18:49.304,com.sec.android.app.shealth,-2,71,1.483066,56.79997,3.7301743,VfS0qUERdZ,com.sec.android.app.shealth,5fc6618f-b658-42f5-8043-0dfe5735d8b1,1611705600000,
0a509be8-31b1-466b-a899-526ca550c50f.binning_data.json,2024-04-20 12:18:49.305,2024-04-20 12:18:49.305,com.sec.android.app.shealth,-2,1164,1.730445,1012.7916,77.20268,VfS0qUERdZ,com.sec.android.app.shealth,0a509be8-31b1-466b-a899-526ca550c50f,1611792000000,
a047ec40-27f9-4745-a162-e7378b9bb2ef.binning_data.json,2024-04-20 12:18:49.306,2024-04-20 12:18:49.306,com.sec.android.app.shealth,-2,1152,1.7191904,1004.9931,77.561966,VfS0qUERdZ,com.sec.android.app.shealth,a047ec40-27f9-4745-a162-e7378b9bb2ef,1611878400000,
fa9928bb-3b7b-4309-8b6f-574a3022ba39.binning_data.json,2024-04-20 12:18:49.307,2024-04-20 12:18:49.307,com.sec.android.app.shealth,-2,5594,1.4573394,4602.8057,322.1737,VfS0qUERdZ,com.sec.android.app.shealth,fa9928bb-3b7b-4309-8b6f-574a3022ba39,1611964800000,
ceea36d1-ceb3-4a9c-9c56-26719b41e5a7.binning_data.json,2024-04-20 12:18:49.307,2024-04-20 12:18:49.307,com.sec.android.app.shealth,-2,3042,1.410046,2436.6604,162.00125,VfS0qUERdZ,com.sec.android.app.shealth,ceea36d1-ceb3-4a9c-9c56-26719b41e5a7,1612051200000,
7fc41bea-e33c-4449-9aea-7ec8ba76c259.binning_data.json,2024-04-20 12:18:49.308,2024-04-20 12:18:49.308,com.sec.android.app.shealth,-2,1249,1.7978715,1123.9941,90.973465,VfS0qUERdZ,com.sec.android.app.shealth,7fc41bea-e33c-4449-9aea-7ec8ba76c259,1612137600000,
0f0c8156-959e-464e-9dbd-70254a911f50.binning_data.json,2024-04-20 12:18:49.309,2024-04-20 12:18:49.309,com.sec.android.app.shealth,-2,571,2.0174992,532.0994,45.301598,VfS0qUERdZ,com.sec.android.app.shealth,0f0c8156-959e-464e-9dbd-70254a911f50,1612224000000,
0c3ade1d-42d8-43c6-ba31-8f23b2d7bfc1.binning_data.json,2024-04-20 12:18:49.310,2024-04-20 12:18:49.310,com.sec.android.app.shealth,-2,933,1.9951211,874.19495,74.85865,VfS0qUERdZ,com.sec.android.app.shealth,0c3ade1d-42d8-43c6-ba31-8f23b2d7bfc1,1612310400000,
427bad8d-0964-4ea7-8861-7a143fcea76a.binning_data.json,2024-04-20 12:18:49.310,2024-04-20 12:18:49.310,com.sec.android.app.shealth,-2,1213,1.6034042,1050.4941,79.49908,VfS0qUERdZ,com.sec.android.app.shealth,427bad8d-0964-4ea7-8861-7a143fcea76a,1612396800000,
