com.samsung.shealth.preferences,6266001,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
"{""distance"":1000.0,""duration"":600000,""enable"":true,""type"":""distance""}",tracker.exercise,,2023-10-18 21:26:43.432,2023-10-18 21:26:43.436,,,,,87RAVxanZM,com.sec.android.app.shealth,,34-10002.autoLap,
,tracker.exercise,,2023-11-02 22:50:41.909,2023-11-02 22:50:42.176,,,,0,87RAVxanZM,com.sec.android.app.shealth,,34-7002.autoPause.enable,
"{""calories"":300.0,""distance"":1000,""duration"":1800000,""enable"":false,""type"":0}",tracker.exercise,,2024-04-29 22:45:36.204,2023-11-02 22:50:43.519,,,,,87RAVxanZM,com.sec.android.app.shealth,,34-7002.target,
,tracker.exercise,,2023-11-02 22:50:44.100,2023-11-02 22:50:44.115,,,,1,87RAVxanZM,com.sec.android.app.shealth,,34-7002.coaching.enable,
"{""distance"":1000.0,""duration"":600000,""enable"":true,""type"":""distance""}",tracker.exercise,,2023-11-02 22:50:47.660,2023-11-02 22:50:47.665,,,,,87RAVxanZM,com.sec.android.app.shealth,,34-7002.autoLap,
,tracker.exercise,,2023-11-21 22:49:50.676,2023-11-21 22:49:51.147,,,,1,87RAVxanZM,com.sec.android.app.shealth,,34-1002.autoPause.enable,
"{""distance"":1000.0,""duration"":600000,""enable"":true,""type"":""distance""}",tracker.exercise,,2023-11-21 22:49:50.655,2023-11-21 22:49:51.176,,,,,87RAVxanZM,com.sec.android.app.shealth,,34-1002.autoLap,
"{""calories"":300.0,""distance"":1000,""duration"":1800000,""enable"":false,""type"":0}",tracker.exercise,,2024-06-11 22:30:07.101,2023-11-21 22:51:29.980,,,,,87RAVxanZM,com.sec.android.app.shealth,,34-1002.target,
,tracker.exercise,,2023-11-21 22:51:34.808,2023-11-21 22:51:34.903,,,,1,87RAVxanZM,com.sec.android.app.shealth,,34-1002.coaching.enable,
,,,2024-01-22 21:32:27.521,2024-01-22 21:32:28.934,,,,1,87RAVxanZM,com.sec.android.app.shealth,,oobe.sensitive_data_available,
,,,2024-02-22 21:30:18.429,2024-02-22 21:30:18.443,,,,1,87RAVxanZM,com.sec.android.app.shealth,,oobe.shd_access_authority_status,
,tracker.exercise,,2024-03-12 19:44:42.360,2024-03-12 19:44:38.089,,,,1,87RAVxanZM,com.sec.android.app.shealth,,34-auto_workout_is_shown,
