com.samsung.shealth.tracker.pedometer_day_summary,6266001,6
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,1825,fa5a4b73-691c-4c9d-a41a-9a498e69380b.binning_data.json,1025978,6000,,64,2021-01-01 03:00:15.820,com.sec.android.app.shealth,2020-12-31 03:00:03.211,,1.44351,1481.0107,100.35493,1761,rCXGezyjDZ,com.sec.android.app.shealth,0,fa5a4b73-691c-4c9d-a41a-9a498e69380b.achievement.json,fa5a4b73-691c-4c9d-a41a-9a498e69380b,1609286400000,
,5333,efab61d9-c713-47a3-81c7-5efb09104a27.binning_data.json,3066567,6000,,106,2021-01-01 10:01:12.243,com.sec.android.app.shealth,2020-12-31 09:16:32.154,efab61d9-c713-47a3-81c7-5efb09104a27.source_info.json,1.4000113,4293.2285,289.23248,5227,VfS0qUERdZ,com.sec.android.app.shealth,0,efab61d9-c713-47a3-81c7-5efb09104a27.achievement.json,efab61d9-c713-47a3-81c7-5efb09104a27,1609372800000,
,5333,53899517-1cf9-4543-8720-f5fb94914d9f.binning_data.json,3066567,6000,,106,2021-01-02 03:00:03.923,com.sec.android.app.shealth,2021-01-01 03:00:15.875,,1.4000113,4293.2285,289.23248,5227,rCXGezyjDZ,com.sec.android.app.shealth,0,53899517-1cf9-4543-8720-f5fb94914d9f.achievement.json,53899517-1cf9-4543-8720-f5fb94914d9f,1609372800000,
,3344,1d332209-46f6-437c-9c1b-f2180c29651a.binning_data.json,1885829,6000,,39,2021-01-02 12:51:30.114,com.sec.android.app.shealth,2021-01-01 10:01:11.815,1d332209-46f6-437c-9c1b-f2180c29651a.source_info.json,1.4268918,2690.8752,180.07315,3305,VfS0qUERdZ,com.sec.android.app.shealth,0,1d332209-46f6-437c-9c1b-f2180c29651a.achievement.json,1d332209-46f6-437c-9c1b-f2180c29651a,1609459200000,
,3344,db33fb5d-9235-4cb6-8a39-af07cc105c70.binning_data.json,1885829,6000,,39,2021-01-03 03:45:57.076,com.sec.android.app.shealth,2021-01-02 03:00:03.925,,1.4268918,2690.8752,180.07315,3305,rCXGezyjDZ,com.sec.android.app.shealth,0,db33fb5d-9235-4cb6-8a39-af07cc105c70.achievement.json,db33fb5d-9235-4cb6-8a39-af07cc105c70,1609459200000,
,5011,acdfb080-23c4-4773-a2f3-a409a92de945.binning_data.json,2856908,6000,,97,2021-01-03 11:36:43.105,com.sec.android.app.shealth,2021-01-02 12:51:29.488,acdfb080-23c4-4773-a2f3-a409a92de945.source_info.json,1.4117541,4033.252,270.6063,4914,VfS0qUERdZ,com.sec.android.app.shealth,0,acdfb080-23c4-4773-a2f3-a409a92de945.achievement.json,acdfb080-23c4-4773-a2f3-a409a92de945,1609545600000,
,5011,83f092d5-70db-42de-8943-7779a53dcf41.binning_data.json,2856908,6000,,97,2021-01-04 03:00:04.050,com.sec.android.app.shealth,2021-01-03 03:45:57.122,,1.4117541,4033.252,270.6063,4914,rCXGezyjDZ,com.sec.android.app.shealth,0,83f092d5-70db-42de-8943-7779a53dcf41.achievement.json,83f092d5-70db-42de-8943-7779a53dcf41,1609545600000,
,3498,4bb99028-c924-44dc-a5a9-3d0cfd616f86.binning_data.json,1994867,6000,,20,2021-01-04 10:05:57.201,com.sec.android.app.shealth,2021-01-03 13:57:07.480,4bb99028-c924-44dc-a5a9-3d0cfd616f86.source_info.json,1.4073534,2807.4832,187.69121,3478,VfS0qUERdZ,com.sec.android.app.shealth,0,4bb99028-c924-44dc-a5a9-3d0cfd616f86.achievement.json,4bb99028-c924-44dc-a5a9-3d0cfd616f86,1609632000000,
,3498,5ae31aae-d790-4e33-8717-bbf46ffd2f41.binning_data.json,1994867,6000,,20,2021-01-05 04:38:32.678,com.sec.android.app.shealth,2021-01-04 03:00:04.055,,1.4073534,2807.4832,187.69121,3478,rCXGezyjDZ,com.sec.android.app.shealth,0,5ae31aae-d790-4e33-8717-bbf46ffd2f41.achievement.json,5ae31aae-d790-4e33-8717-bbf46ffd2f41,1609632000000,
,1146,d4449968-46a1-4061-a422-8d953c91f093.binning_data.json,631035,6000,,18,2021-01-04 23:28:05.136,com.sec.android.app.shealth,2021-01-04 21:21:15.235,d4449968-46a1-4061-a422-8d953c91f093.source_info.json,1.4618676,922.49036,61.083897,1128,VfS0qUERdZ,com.sec.android.app.shealth,0,d4449968-46a1-4061-a422-8d953c91f093.achievement.json,d4449968-46a1-4061-a422-8d953c91f093,1609718400000,
,1146,d97cdbbe-abdb-4daf-b2ee-2b15c906ae67.binning_data.json,631035,6000,,18,2021-01-05 04:38:32.689,com.sec.android.app.shealth,2021-01-05 04:38:32.689,,1.4618676,922.49036,61.083897,1128,rCXGezyjDZ,com.sec.android.app.shealth,0,d97cdbbe-abdb-4daf-b2ee-2b15c906ae67.achievement.json,d97cdbbe-abdb-4daf-b2ee-2b15c906ae67,1609718400000,
,877,135310d6-ed36-4898-a708-d6822f3dbf9e.binning_data.json,490058,6000,,54,2021-01-07 15:10:18.988,com.sec.android.app.shealth,2021-01-06 21:22:43.349,135310d6-ed36-4898-a708-d6822f3dbf9e.source_info.json,1.4653261,718.095,49.458786,823,VfS0qUERdZ,com.sec.android.app.shealth,0,135310d6-ed36-4898-a708-d6822f3dbf9e.achievement.json,135310d6-ed36-4898-a708-d6822f3dbf9e,1609891200000,
,877,054fabe0-3a54-4bef-b00a-b8af992a04b3.binning_data.json,490058,6000,,54,2021-01-08 03:13:18.386,com.sec.android.app.shealth,2021-01-07 03:24:03.098,,1.4653261,718.095,49.458786,823,rCXGezyjDZ,com.sec.android.app.shealth,0,054fabe0-3a54-4bef-b00a-b8af992a04b3.achievement.json,054fabe0-3a54-4bef-b00a-b8af992a04b3,1609891200000,
,1010,b014773f-ad79-4421-82da-2de525e3dbf3.binning_data.json,557851,6000,,18,2021-01-07 23:36:25.833,com.sec.android.app.shealth,2021-01-07 21:26:01.914,b014773f-ad79-4421-82da-2de525e3dbf3.source_info.json,1.4580796,813.39246,53.875904,992,VfS0qUERdZ,com.sec.android.app.shealth,0,b014773f-ad79-4421-82da-2de525e3dbf3.achievement.json,b014773f-ad79-4421-82da-2de525e3dbf3,1609977600000,
,1010,081099ce-c545-41eb-a076-191c7ed9b093.binning_data.json,557851,6000,,18,2021-01-08 03:13:18.407,com.sec.android.app.shealth,2021-01-08 03:13:18.407,,1.4580796,813.39246,53.875904,992,rCXGezyjDZ,com.sec.android.app.shealth,0,081099ce-c545-41eb-a076-191c7ed9b093.achievement.json,081099ce-c545-41eb-a076-191c7ed9b093,1609977600000,
,1115,963f5c2e-a1de-4a0d-b337-cf5156219725.binning_data.json,598593,6000,,118,2021-01-08 23:13:16.144,com.sec.android.app.shealth,2021-01-08 21:25:19.021,963f5c2e-a1de-4a0d-b337-cf5156219725.source_info.json,1.5492829,927.39136,65.43695,997,VfS0qUERdZ,com.sec.android.app.shealth,0,963f5c2e-a1de-4a0d-b337-cf5156219725.achievement.json,963f5c2e-a1de-4a0d-b337-cf5156219725,1610064000000,
,1115,b191bafb-6b0c-4c5c-adb2-73a28dc7ced1.binning_data.json,598593,6000,,118,2021-01-09 04:18:02.399,com.sec.android.app.shealth,2021-01-09 04:18:02.399,,1.5492829,927.39136,65.43695,997,rCXGezyjDZ,com.sec.android.app.shealth,0,b191bafb-6b0c-4c5c-adb2-73a28dc7ced1.achievement.json,b191bafb-6b0c-4c5c-adb2-73a28dc7ced1,1610064000000,
,6490,644ba286-685e-4a77-a9af-65eb37911199.binning_data.json,3661274,6000,,150,2021-01-10 01:13:59.452,com.sec.android.app.shealth,2021-01-09 13:53:31.903,644ba286-685e-4a77-a9af-65eb37911199.source_info.json,1.430941,5239.0684,353.6469,6340,VfS0qUERdZ,com.sec.android.app.shealth,0,644ba286-685e-4a77-a9af-65eb37911199.achievement.json,644ba286-685e-4a77-a9af-65eb37911199,1610150400000,
,6490,d74ecc1c-5f2e-4650-8c6e-d4c2c6f8e4f5.binning_data.json,3661274,6000,,150,2021-01-10 03:12:06.074,com.sec.android.app.shealth,2021-01-10 03:12:06.074,,1.430941,5239.0684,353.6469,6340,rCXGezyjDZ,com.sec.android.app.shealth,0,d74ecc1c-5f2e-4650-8c6e-d4c2c6f8e4f5.achievement.json,d74ecc1c-5f2e-4650-8c6e-d4c2c6f8e4f5,1610150400000,
