com.samsung.shealth.tracker.pedometer_step_count,6266001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,0,90,2024-06-10 22:51:00.000,,,2024-06-10 22:51:59.000,2024-06-10 22:51:59.000,90,1.4778179,71.9989,4.390938,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:51:59.000,98b0b1b4-66db-8580-70b2-f78e16eca417,
,,0,67,2024-06-10 22:52:00.000,,,2024-06-10 22:52:59.000,2024-06-10 22:52:59.000,67,1.7071028,53.599182,3.2597008,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:52:59.000,d2f3a2b2-fc38-3ab5-6183-e554106e1433,
,,0,64,2024-06-10 22:53:00.000,,,2024-06-10 22:53:59.000,2024-06-10 22:53:59.000,64,1.7465267,51.19922,3.0964317,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:53:59.000,a10e5a5d-4ff9-747f-3462-87cd689d8aac,
,,0,59,2024-06-10 22:54:00.000,,,2024-06-10 22:54:59.000,2024-06-10 22:54:59.000,59,1.4257914,47.19928,2.8897667,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:54:59.000,11f13a29-3a55-325c-8ac1-d09b5016b03f,
,,0,59,2024-06-10 22:55:00.000,,,2024-06-10 22:55:59.000,2024-06-10 22:55:59.000,59,1.7595716,47.19928,2.8569603,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:55:59.000,72911d55-92b9-976e-ffd4-e18b19bc2ff6,
,,0,2,2024-06-10 22:56:00.000,,,2024-06-10 22:58:22.000,2024-06-10 22:56:59.000,2,1.04,1.5999756,0.112384796,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:56:59.000,ae8c032f-ce1b-91ab-c1e6-7263fac7d323,
,,0,14,2024-06-10 22:59:00.000,,,2024-06-10 22:59:59.000,2024-06-10 22:59:59.000,14,1.2213919,11.199829,0.74977875,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-10 22:59:59.000,fb95fa7c-eee6-62cd-de7f-2765547c7856,
,,0,36,2024-06-11 21:14:00.000,,,2024-06-11 21:14:59.000,2024-06-11 21:14:59.000,36,1.5657023,28.799992,1.8028815,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 21:14:59.000,9f476e6b-d167-2ebf-7d54-4a49550f71e1,
,,1,12,2024-06-11 21:15:00.000,,,2024-06-11 21:15:59.000,2024-06-11 21:15:59.000,13,1.8228917,10.699993,0.7398393,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 21:15:59.000,bcdb7f44-6f02-082f-8221-c829cf976f05,
,,0,17,2024-06-11 21:16:00.000,,,2024-06-11 21:16:59.000,2024-06-11 21:16:59.000,17,1.5425687,13.599987,0.84354925,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 21:16:59.000,5a82d377-082c-6268-d354-b5f9c5d69403,
