com.samsung.shealth.exercise.photo,6266001,2
start_time,latitude,custom,update_time,create_time,image,longitude,time_offset,deviceuuid,exercise_id,pkg_name,datauuid
2023-12-03 10:49:19.000,0.0,,2023-12-04 10:47:49.940,2023-12-04 10:47:49.940,56350178-9cf4-b851-d2e0-acb6b85feb43.image.jpg,0.0,UTC-0300,LmLIi2hQJK,907909b6-1f22-2a03-9542-4aa908224295,com.sec.android.app.shealth,56350178-9cf4-b851-d2e0-acb6b85feb43,
2023-12-13 21:49:22.000,0.0,,2023-12-14 21:42:11.389,2023-12-14 21:42:11.389,08f1c4cd-9063-1630-4a61-f19b06882d8d.image.jpg,0.0,UTC-0300,LmLIi2hQJK,4e8b9f97-4f02-9cfd-aca4-a8029606d968,com.sec.android.app.shealth,08f1c4cd-9063-1630-4a61-f19b06882d8d,
2023-12-13 22:18:47.000,0.0,,2023-12-14 21:42:11.411,2023-12-14 21:42:11.411,f659a10b-e751-b116-ac09-654bea419867.image.jpg,0.0,UTC-0300,LmLIi2hQJK,4e8b9f97-4f02-9cfd-aca4-a8029606d968,com.sec.android.app.shealth,f659a10b-e751-b116-ac09-654bea419867,
2023-12-17 11:26:07.000,0.0,,2023-12-17 18:11:59.862,2023-12-17 18:11:59.862,f6a0d3ee-627d-03d9-8060-4d8ab989f5bb.image.jpg,0.0,UTC-0300,LmLIi2hQJK,834428a5-09c4-3edb-8f31-a576f385bd63,com.sec.android.app.shealth,f6a0d3ee-627d-03d9-8060-4d8ab989f5bb,
2023-12-17 11:18:08.000,0.0,,2023-12-17 18:11:59.868,2023-12-17 18:11:59.868,47bb81ae-d232-4795-ea74-40c992654724.image.jpg,0.0,UTC-0300,LmLIi2hQJK,834428a5-09c4-3edb-8f31-a576f385bd63,com.sec.android.app.shealth,47bb81ae-d232-4795-ea74-40c992654724,
2023-12-17 11:41:05.000,0.0,,2023-12-17 18:11:59.871,2023-12-17 18:11:59.871,a670850c-6014-9d43-79b0-04d0a1da4d39.image.jpg,0.0,UTC-0300,LmLIi2hQJK,834428a5-09c4-3edb-8f31-a576f385bd63,com.sec.android.app.shealth,a670850c-6014-9d43-79b0-04d0a1da4d39,
2023-12-24 09:49:52.000,0.0,,2023-12-26 06:44:06.731,2023-12-26 06:44:06.731,8ac06ac6-3051-9445-e5c4-4f25268a896a.image.jpg,0.0,UTC-0300,LmLIi2hQJK,07ec0c5a-c3cd-e5fd-d6b5-27b0a5197b6c,com.sec.android.app.shealth,8ac06ac6-3051-9445-e5c4-4f25268a896a,
2024-01-09 12:48:51.000,0.0,,2024-01-09 17:19:02.475,2024-01-09 17:19:02.475,dbf8ea93-b7df-27f6-eb4d-c707d660a952.image.jpg,0.0,UTC-0300,LmLIi2hQJK,778de590-24bb-c117-db71-9c5eb34df215,com.sec.android.app.shealth,dbf8ea93-b7df-27f6-eb4d-c707d660a952,
2024-01-28 13:17:01.000,0.0,,2024-02-21 22:22:52.879,2024-02-21 22:22:52.879,0a22dd1b-bc6c-4099-af06-cc44ccb54793.image.jpg,0.0,UTC-0300,LmLIi2hQJK,7f30b3cb-1e89-ff80-1c23-d50b2ae63e14,com.sec.android.app.shealth,0a22dd1b-bc6c-4099-af06-cc44ccb54793,
2024-02-04 10:42:51.000,0.0,,2024-02-21 22:22:58.285,2024-02-21 22:22:58.285,75e71d9a-f71e-3502-81ba-596fca407696.image.jpg,0.0,UTC-0300,LmLIi2hQJK,a860468d-92f9-dccc-33c8-975becf04ae7,com.sec.android.app.shealth,75e71d9a-f71e-3502-81ba-596fca407696,
